"parameter","parameter2","value","fleet","age","fleetid","check"
"keyCorObs","cor.obs","-1","LAI-ORSH","3-4",6,NA
"keyCorObs","cor.obs","-1","LAI-BUN","3-4",7,NA
"keyCorObs","cor.obs","-1","LAI-CNS","3-4",8,NA
"keyCorObs","cor.obs","-1","LAI-SNS","3-4",9,NA
"keyCorObs","cor.obs",NA,"catch unique","4-5",1,NA
"keyCorObs","cor.obs",NA,"HERAS","4-5",2,NA
"keyCorObs","cor.obs","-1","IBTS-Q1","4-5",3,NA
"keyCorObs","cor.obs","-1","IBTS0","4-5",4,NA
"keyCorObs","cor.obs","0","IBTS-Q3","4-5",5,NA
"keyCorObs","cor.obs","-1","LAI-ORSH","4-5",6,NA
"keyCorObs","cor.obs","-1","LAI-BUN","4-5",7,NA
"keyCorObs","cor.obs","-1","LAI-CNS","4-5",8,NA
"keyCorObs","cor.obs","-1","LAI-SNS","4-5",9,NA
"keyCorObs","cor.obs",NA,"catch unique","5-6",1,NA
"keyCorObs","cor.obs",NA,"HERAS","5-6",2,NA
"keyCorObs","cor.obs","-1","IBTS-Q1","5-6",3,NA
"keyCorObs","cor.obs","-1","IBTS0","5-6",4,NA
"keyCorObs","cor.obs","-1","IBTS-Q3","5-6",5,NA
"keyCorObs","cor.obs","-1","LAI-ORSH","5-6",6,NA
"keyCorObs","cor.obs","-1","LAI-BUN","5-6",7,NA
"keyCorObs","cor.obs","-1","LAI-CNS","5-6",8,NA
"keyCorObs","cor.obs","-1","LAI-SNS","5-6",9,NA
"keyCorObs","cor.obs",NA,"catch unique","6-7",1,NA
"keyCorObs","cor.obs",NA,"HERAS","6-7",2,NA
"keyCorObs","cor.obs","-1","IBTS-Q1","6-7",3,NA
"keyCorObs","cor.obs","-1","IBTS0","6-7",4,NA
"keyCorObs","cor.obs","-1","IBTS-Q3","6-7",5,NA
"keyCorObs","cor.obs","-1","LAI-ORSH","6-7",6,NA
"keyCorObs","cor.obs","-1","LAI-BUN","6-7",7,NA
"keyCorObs","cor.obs","-1","LAI-CNS","6-7",8,NA
"keyCorObs","cor.obs","-1","LAI-SNS","6-7",9,NA
"keyCorObs","cor.obs",NA,"catch unique","7-8",1,NA
"keyCorObs","cor.obs",NA,"HERAS","7-8",2,NA
"keyCorObs","cor.obs","-1","IBTS-Q1","7-8",3,NA
"keyCorObs","cor.obs","-1","IBTS0","7-8",4,NA
"keyCorObs","cor.obs","-1","IBTS-Q3","7-8",5,NA
"keyCorObs","cor.obs","-1","LAI-ORSH","7-8",6,NA
"keyCorObs","cor.obs","-1","LAI-BUN","7-8",7,NA
"keyCorObs","cor.obs","-1","LAI-CNS","7-8",8,NA
"keyCorObs","cor.obs","-1","LAI-SNS","7-8",9,NA
"obsCorStruct","cor.obs.Flag","ID","catch unique",NA,1,NA
"obsCorStruct","cor.obs.Flag","ID","HERAS",NA,2,NA
"obsCorStruct","cor.obs.Flag","ID","IBTS-Q1",NA,3,NA
"obsCorStruct","cor.obs.Flag","ID","IBTS0",NA,4,NA
"obsCorStruct","cor.obs.Flag","AR","IBTS-Q3",NA,5,NA
"obsCorStruct","cor.obs.Flag","ID","LAI-ORSH",NA,6,NA
"obsCorStruct","cor.obs.Flag","ID","LAI-BUN",NA,7,NA
"obsCorStruct","cor.obs.Flag","ID","LAI-CNS",NA,8,NA
"obsCorStruct","cor.obs.Flag","ID","LAI-SNS",NA,9,NA
"keyBiomassTreat","biomassTreat","-1","catch unique",NA,1,NA
"keyBiomassTreat","biomassTreat","-1","HERAS",NA,2,NA
"keyBiomassTreat","biomassTreat","-1","IBTS-Q1",NA,3,NA
"keyBiomassTreat","biomassTreat","-1","IBTS0",NA,4,NA
"keyBiomassTreat","biomassTreat","-1","IBTS-Q3",NA,5,NA
"keyBiomassTreat","biomassTreat","-1","LAI-ORSH",NA,6,NA
"keyBiomassTreat","biomassTreat","-1","LAI-BUN",NA,7,NA
"keyBiomassTreat","biomassTreat","-1","LAI-CNS",NA,8,NA
"keyBiomassTreat","biomassTreat","-1","LAI-SNS",NA,9,NA
"keyVarLogN","logN.vars","0",NA,"0",NA,NA
"keyVarLogN","logN.vars","1",NA,"1",NA,NA
"keyVarLogN","logN.vars","1",NA,"2",NA,NA
"keyVarLogN","logN.vars","1",NA,"3",NA,NA
"keyVarLogN","logN.vars","1",NA,"4",NA,NA
"keyVarLogN","logN.vars","1",NA,"5",NA,NA
"keyVarLogN","logN.vars","1",NA,"6",NA,NA
"keyVarLogN","logN.vars","1",NA,"7",NA,NA
"keyVarLogN","logN.vars","1",NA,"8",NA,NA
"noScaledYears","scaleNoYear","0",NA,NA,NA,NA
"keyScaledYears","scaleYears","numeric()",NA,NA,NA,NA
"keyParScaledYA","scalePars","0 x 0 matrix",NA,NA,NA,NA
"keyVarLogP","logP.vars","0",NA,NA,NA,"1"
"keyVarLogP","logP.vars","1",NA,NA,NA,"2"
"keyVarLogP","logP.vars","2",NA,NA,NA,"3"
