"Species","Year","Quarter","Species.n","Age","M1","M2","M","F","Z","N","N.bar","C.hat","C.obs","west","weca","Yield","CWsum","prop.landed","propmat","BIO","SSB","Lsea","ration"
"Saithe",1980,3,21,8,0.05,0,0.05,0.119071,0.169071,3128.99,2878.77,342.778,1149.55,5.50562,5.1266,5893.28,5893.28,1,1,17227,17227,813,3.346
"Saithe",1980,3,21,9,0.05,0,0.05,0.119071,0.169071,1303.63,1199.39,142.812,509.165,6.27257,5.9398,3024.34,3024.34,1,1,8177.13,8177.13,898,4.131
"Saithe",1980,3,21,10,0.05,0,0.05,0.119071,0.169071,4203.45,3867.31,460.484,2301.88,9.16033,8.1483,18756.4,18756.4,1,1,38505,38505,1019,6.373
"Saithe",1980,4,21,0,0.05,0,0.05,0,0.05,218509,213136,0,0,0.02,0,0,0,1,0,4370.17,0,173,0
"Saithe",1980,4,21,1,0.05,0,0.05,0,0.05,183822,179302,0,0,0.183,0.3573,0,0,1,0,33639.4,0,308,0
"Saithe",1980,4,21,2,0.05,0,0.05,0,0.05,175486,171172,0,0,0.667,0.5299,0,0,1,0,117049,0,401,0
"Saithe",1980,4,21,3,0.05,0,0.05,0.070321,0.120321,43720.4,41192.5,2896.7,0,1.40372,0.9546,0,0,1,0,61371.1,0,435,1.012
"Saithe",1980,4,21,4,0.05,0,0.05,0.087454,0.137454,29445.4,27511.3,2405.97,0,2.43403,1.8213,0,0,1,0.15,71670.9,10750.6,516,1.306
"Saithe",1980,4,21,5,0.05,0,0.05,0.0775031,0.127503,12750.8,11971.4,927.823,0,3.09077,2.3913,0,0,1,0.7,39410,27587,654,1.897
"Saithe",1980,4,21,6,0.05,0,0.05,0.0696457,0.119646,9542.94,8994.16,626.404,0,3.67818,3.0303,0,0,1,0.9,35100.7,31590.6,756,2.535
"Saithe",1980,4,21,7,0.05,0,0.05,0.065707,0.115707,8646.7,8165.21,536.511,0,4.77167,4.0899,0,0,1,1,41259.2,41259.2,811,3.302
"Saithe",1980,4,21,8,0.05,0,0.05,0.0588294,0.108829,2642.27,2503.57,147.283,0,5.73079,5.1266,0,0,1,1,15142.3,15142.3,847,4.085
"Saithe",1980,4,21,9,0.05,0,0.05,0.0588294,0.108829,1100.85,1043.06,61.3628,0,6.51383,5.9398,0,0,1,1,7170.75,7170.75,950,5.032
"Saithe",1980,4,21,10,0.05,0,0.05,0.0588294,0.108829,3549.6,3363.27,197.859,0,8.70397,8.1483,0,0,1,1,30895.6,30895.6,1036,7.745
"Saithe",1981,1,21,1,0.05,0,0.05,0,0.05,207852,202741,0,0,0.026,0.272,0,0,1,0,5404.15,0,281,0
"Saithe",1981,1,21,2,0.05,0,0.05,0,0.05,174857,170557,0,0,0.2,0.5116,0,0,1,0,34971.3,0,333,0
"Saithe",1981,1,21,3,0.05,0,0.05,0.0487005,0.0987005,166928,158954,7741.16,0,0.937,0.9608,0,0,1,0,156411,0,412,0.355
"Saithe",1981,1,21,4,0.05,0,0.05,0.129591,0.179591,38764,35482.5,4598.21,0,1.859,1.8212,0,0,1,0.15,72062.3,10809.4,441,0.534
"Saithe",1981,1,21,5,0.05,0,0.05,0.114845,0.164845,25663.8,23660.1,2717.25,0,2.694,2.7176,0,0,1,0.7,69138.3,48396.8,550,0.8
"Saithe",1981,1,21,6,0.05,0,0.05,0.103202,0.153202,11224.5,10406.9,1074.02,0,3.529,3.587,0,0,1,0.9,39611.1,35650,646,1.133
"Saithe",1981,1,21,7,0.05,0,0.05,0.0973657,0.147366,8466.83,7872.52,766.513,0,4.47,4.5362,0,0,1,1,37846.7,37846.7,742,1.552
"Saithe",1981,1,21,8,0.05,0,0.05,0.0871743,0.137174,7701.93,7197.02,627.395,0,5.424,5.4779,0,0,1,1,41775.3,41775.3,809,1.997
"Saithe",1981,1,21,9,0.05,0,0.05,0.0871743,0.137174,2369.81,2214.45,193.044,0,6.907,6.9807,0,0,1,1,16368.3,16368.3,878,2.496
"Saithe",1981,1,21,10,0.05,0,0.05,0.0871743,0.137174,4170.91,3897.48,339.76,0,10.7201,8.7241,0,0,1,1,44712.4,44712.4,1010,4.071
"Saithe",1981,2,21,1,0.05,0,0.05,0,0.05,197715,192853,0,0,0.036,0.272,0,0,1,0,7117.73,0,283,0
"Saithe",1981,2,21,2,0.05,0,0.05,0,0.05,166329,162239,0,0,0.231,0.5116,0,0,1,0,38422,0,404,0
"Saithe",1981,2,21,3,0.05,0,0.05,0.0930479,0.143048,151239,140920,13112.3,0,1.14023,0.9608,0,0,1,0,172448,0,424,1.26
"Saithe",1981,2,21,4,0.05,0,0.05,0.168163,0.218163,32391.7,29101.9,4893.87,0,2.08097,1.8212,0,0,1,0.15,67406.1,10110.9,483,1.733
"Saithe",1981,2,21,5,0.05,0,0.05,0.149029,0.199029,21763.6,19734.6,2941.02,0,2.97173,2.7176,0,0,1,0.7,64675.5,45272.8,561,2.558
"Saithe",1981,2,21,6,0.05,0,0.05,0.13392,0.18392,9630.09,8796.39,1178.01,0,3.79849,3.587,0,0,1,0.9,36579.8,32921.8,647,3.526
"Saithe",1981,2,21,7,0.05,0,0.05,0.126347,0.176347,7306.69,6698.7,846.357,0,4.75322,4.5362,0,0,1,1,34730.3,34730.3,743,4.769
"Saithe",1981,2,21,8,0.05,0,0.05,0.113122,0.163122,6714.68,6195.63,700.86,0,5.66614,5.4779,0,0,1,1,38046.3,38046.3,789,6.024
"Saithe",1981,2,21,9,0.05,0,0.05,0.113122,0.163122,2066.04,1906.34,215.648,0,7.18067,6.9807,0,0,1,1,14835.6,14835.6,867,7.489
"Saithe",1981,2,21,10,0.05,0,0.05,0.113122,0.163122,3636.28,3355.19,379.545,0,10.2868,8.7241,0,0,1,1,37405.7,37405.7,1017,11.457
"Saithe",1981,3,21,0,0.05,0,0.05,0,0.05,244351,238343,0,0,0.005,0,0,0,1,0,1221.76,0,129,0
"Saithe",1981,3,21,1,0.05,0,0.05,0,0.05,188072,183448,0,5308.85,0.111,0.272,1444.01,1444.01,1,0,20876,0,296,0
"Saithe",1981,3,21,2,0.05,0,0.05,0,0.05,158217,154327,0,18194.9,0.463,0.5116,9308.52,9308.52,1,0,73254.4,0,384,0
"Saithe",1981,3,21,3,0.05,0,0.05,0.147734,0.197734,131081,118935,17570.7,26177.6,1.28793,0.9608,25151.4,25151.4,1,0,168823,0,428,0.761
"Saithe",1981,3,21,4,0.05,0,0.05,0.171209,0.221209,26042.7,23363.4,4000.02,8338.52,2.24745,1.8212,15186.1,15186.1,1,0.15,58529.7,8779.45,504,0.997
"Saithe",1981,3,21,5,0.05,0,0.05,0.151728,0.201728,17835.8,16151.9,2450.69,6739.42,3.27724,2.7176,18315.1,18315.1,1,0.7,58452.1,40916.5,581,1.505
"Saithe",1981,3,21,6,0.05,0,0.05,0.136345,0.186345,8012.26,7310.02,996.687,3675.34,4.06797,3.587,13183.5,13183.5,1,0.9,32593.7,29334.3,689,2.011
"Saithe",1981,3,21,7,0.05,0,0.05,0.128635,0.178635,6125.4,5609.47,721.572,3334.94,5.02413,4.5362,15128,15128,1,1,30774.8,30774.8,744,2.682
"Saithe",1981,3,21,8,0.05,0,0.05,0.11517,0.16517,5704.04,5257.87,605.55,3395.62,5.92039,5.4779,18600.9,18600.9,1,1,33770.2,33770.2,813,3.346
"Saithe",1981,3,21,9,0.05,0,0.05,0.11517,0.16517,1755.08,1617.8,186.322,656.967,7.45435,6.9807,4586.09,4586.09,1,1,13083,13083,898,4.131
"Saithe",1981,3,21,10,0.05,0,0.05,0.11517,0.16517,3088.97,2847.35,327.93,2536.36,10.2857,8.7241,22127.5,22127.5,1,1,31772.2,31772.2,1019,6.373
"Saithe",1981,4,21,0,0.05,0,0.05,0,0.05,232434,226719,0,0,0.02,0,0,0,1,0,4648.68,0,173,0
"Saithe",1981,4,21,1,0.05,0,0.05,0,0.05,178900,174501,0,0,0.183,0.272,0,0,1,0,32738.7,0,308,0
"Saithe",1981,4,21,2,0.05,0,0.05,0,0.05,150501,146800,0,0,0.667,0.5116,0,0,1,0,100384,0,401,0
"Saithe",1981,4,21,3,0.05,0,0.05,0.0680175,0.118018,107563,101459,6900.96,0,1.45335,0.9608,0,0,1,0,156328,0,435,1.012
"Saithe",1981,4,21,4,0.05,0,0.05,0.0845893,0.134589,20874.5,19530.7,1652.09,0,2.49716,1.8212,0,0,1,0.15,52127.1,7819.07,516,1.306
"Saithe",1981,4,21,5,0.05,0,0.05,0.0749643,0.124964,14577.5,13703.5,1027.27,0,3.51331,2.7176,0,0,1,0.7,51215.3,35850.7,654,1.897
"Saithe",1981,4,21,6,0.05,0,0.05,0.0673643,0.117364,6650.07,6274.66,422.688,0,4.36313,3.587,0,0,1,0.9,29015.1,26113.6,756,2.535
"Saithe",1981,4,21,7,0.05,0,0.05,0.0635546,0.113555,5123.36,4843.17,307.806,0,5.27041,4.5362,0,0,1,1,27002.2,27002.2,811,3.302
"Saithe",1981,4,21,8,0.05,0,0.05,0.0569023,0.106902,4835.6,4586.1,260.959,0,6.16254,5.4779,0,0,1,1,29799.5,29799.5,847,4.085
"Saithe",1981,4,21,9,0.05,0,0.05,0.0569023,0.106902,1487.87,1411.1,80.2947,0,7.74105,6.9807,0,0,1,1,11517.7,11517.7,950,5.032
"Saithe",1981,4,21,10,0.05,0,0.05,0.0569023,0.106902,2618.67,2483.56,141.32,0,10.9153,8.7241,0,0,1,1,28583.6,28583.6,1036,7.745
"Saithe",1982,1,21,1,0.05,0,0.05,0,0.05,221098,215662,0,0,0.026,0.3304,0,0,1,0,5748.55,0,281,0
"Saithe",1982,1,21,2,0.05,0,0.05,0,0.05,170175,165990,0,0,0.2,0.546,0,0,1,0,34034.9,0,333,0
"Saithe",1982,1,21,3,0.05,0,0.05,0.0484859,0.0984859,143161,136337,6610.41,0,1.087,1.0858,0,0,1,0,155616,0,412,0.355
"Saithe",1982,1,21,4,0.05,0,0.05,0.12902,0.17902,95589.4,87521.7,11292,0,1.566,1.5747,0,0,1,0.15,149693,22453.9,441,0.534
"Saithe",1982,1,21,5,0.05,0,0.05,0.114339,0.164339,18245.9,16825.5,1923.81,0,2.497,2.5295,0,0,1,0.7,45560,31892,550,0.8
"Saithe",1982,1,21,6,0.05,0,0.05,0.102747,0.152747,12865.1,11930.7,1225.84,0,3.144,3.2204,0,0,1,0.9,40447.8,36403,646,1.133
"Saithe",1982,1,21,7,0.05,0,0.05,0.0969365,0.146937,5913.65,5499.7,533.122,0,3.958,4.2072,0,0,1,1,23406.2,23406.2,742,1.552
"Saithe",1982,1,21,8,0.05,0,0.05,0.0867901,0.13679,4573.39,4274.38,370.974,0,4.908,5.1255,0,0,1,1,22446.2,22446.2,809,1.997
"Saithe",1982,1,21,9,0.05,0,0.05,0.0867901,0.13679,4345.33,4061.23,352.475,0,5.606,5.9054,0,0,1,1,24359.9,24359.9,878,2.496
"Saithe",1982,1,21,10,0.05,0,0.05,0.0867901,0.13679,3690.19,3448.93,299.333,0,9.65232,8.8239,0,0,1,1,35618.9,35618.9,1010,4.071
"Saithe",1982,2,21,1,0.05,0,0.05,0,0.05,210315,205144,0,0,0.036,0.3304,0,0,1,0,7571.34,0,283,0
"Saithe",1982,2,21,2,0.05,0,0.05,0,0.05,161875,157895,0,0,0.231,0.546,0,0,1,0,37393.2,0,404,0
"Saithe",1982,2,21,3,0.05,0,0.05,0.0926378,0.142638,129733,120906,11200.4,0,1.32277,1.0858,0,0,1,0,171607,0,424,1.26
"Saithe",1982,2,21,4,0.05,0,0.05,0.167422,0.217422,79921.3,71829.8,12025.9,0,1.75299,1.5747,0,0,1,0.15,140101,21015.1,483,1.733
"Saithe",1982,2,21,5,0.05,0,0.05,0.148372,0.198372,15480.8,14042,2083.45,0,2.75442,2.5295,0,0,1,0.7,42640.7,29848.5,561,2.558
"Saithe",1982,2,21,6,0.05,0,0.05,0.13333,0.18333,11042.7,10089.6,1345.24,0,3.38409,3.2204,0,0,1,0.9,37369.4,33632.5,647,3.526
"Saithe",1982,2,21,7,0.05,0,0.05,0.12579,0.17579,5105.54,4681.97,588.944,0,4.20878,4.2072,0,0,1,1,21488.1,21488.1,743,4.769
"Saithe",1982,2,21,8,0.05,0,0.05,0.112623,0.162623,3988.7,3681.26,414.595,0,5.12711,5.1255,0,0,1,1,20450.5,20450.5,789,6.024
"Saithe",1982,2,21,9,0.05,0,0.05,0.112623,0.162623,3789.8,3497.69,393.921,0,5.82813,5.9054,0,0,1,1,22087.4,22087.4,867,7.489
"Saithe",1982,2,21,10,0.05,0,0.05,0.112623,0.162623,3218.41,2970.35,334.53,0,9.60567,8.8239,0,0,1,1,30915,30915,1017,11.457
"Saithe",1982,3,21,0,0.05,0,0.05,0,0.05,306880,299335,0,0,0.005,0,0,0,1,0,1534.4,0,129,0
"Saithe",1982,3,21,1,0.05,0,0.05,0,0.05,200058,195139,0,1932.21,0.111,0.3304,638.401,638.401,1,0,22206.4,0,296,0
"Saithe",1982,3,21,2,0.05,0,0.05,0,0.05,153980,150194,0,28263,0.463,0.546,15431.6,15431.6,1,0,71293,0,384,0
"Saithe",1982,3,21,3,0.05,0,0.05,0.147083,0.197083,112488,102097,15016.7,31895,1.49411,1.0858,34631.6,34631.6,1,0,168069,0,428,0.761
"Saithe",1982,3,21,4,0.05,0,0.05,0.170454,0.220454,64303.9,57709.2,9836.77,40587.4,1.89322,1.5747,63913,63913,1,0.15,121742,18261.2,504,0.997
"Saithe",1982,3,21,5,0.05,0,0.05,0.151059,0.201059,12695.3,11500.4,1737.24,9174.09,3.03759,2.5295,23205.9,23205.9,1,0.7,38563,26994.1,581,1.505
"Saithe",1982,3,21,6,0.05,0,0.05,0.135744,0.185744,9192.97,8389.69,1138.85,5978.25,3.62418,3.2204,19252.3,19252.3,1,0.9,33316.9,29985.2,689,2.011
"Saithe",1982,3,21,7,0.05,0,0.05,0.128068,0.178068,4282.5,3922.87,502.393,2144.58,4.44866,4.2072,9022.69,9022.69,1,1,19051.4,19051.4,744,2.682
"Saithe",1982,3,21,8,0.05,0,0.05,0.114663,0.164663,3390.04,3125.64,358.394,1454.3,5.35717,5.1255,7454.04,7454.04,1,1,18161,18161,813,3.346
"Saithe",1982,3,21,9,0.05,0,0.05,0.114663,0.164663,3220.99,2969.78,340.522,982.296,6.05025,5.9054,5800.85,5800.85,1,1,19487.8,19487.8,898,4.131
"Saithe",1982,3,21,10,0.05,0,0.05,0.114663,0.164663,2735.37,2522.03,289.182,1254.39,9.83962,8.8239,11068.6,11068.6,1,1,26915,26915,1019,6.373
"Saithe",1982,4,21,0,0.05,0,0.05,0,0.05,291914,284736,0,0,0.02,0,0,0,1,0,5838.27,0,173,0
"Saithe",1982,4,21,1,0.05,0,0.05,0,0.05,190301,185622,0,0,0.183,0.3304,0,0,1,0,34825.1,0,308,0
"Saithe",1982,4,21,2,0.05,0,0.05,0,0.05,146471,142869,0,0,0.667,0.546,0,0,1,0,97696,0,401,0
"Saithe",1982,4,21,3,0.05,0,0.05,0.0677177,0.117718,92366.1,87136.7,5900.7,0,1.68602,1.0858,0,0,1,0,155731,0,435,1.012
"Saithe",1982,4,21,4,0.05,0,0.05,0.0842164,0.134216,51581.6,48269.9,4065.12,0,2.10358,1.5747,0,0,1,0.15,108506,16275.9,516,1.306
"Saithe",1982,4,21,5,0.05,0,0.05,0.0746339,0.124634,10383,9762.03,728.578,0,3.2564,2.5295,0,0,1,0.7,33811.2,23667.8,654,1.897
"Saithe",1982,4,21,6,0.05,0,0.05,0.0670674,0.117067,7634.63,7204.69,483.199,0,3.88713,3.2204,0,0,1,0.9,29676.8,26709.1,756,2.535
"Saithe",1982,4,21,7,0.05,0,0.05,0.0632745,0.113275,3583.96,3388.43,214.401,0,4.66673,4.2072,0,0,1,1,16725.4,16725.4,811,3.302
"Saithe",1982,4,21,8,0.05,0,0.05,0.0566515,0.106651,2875.36,2727.34,154.508,0,5.57628,5.1255,0,0,1,1,16033.8,16033.8,847,4.085
"Saithe",1982,4,21,9,0.05,0,0.05,0.0566515,0.106651,2731.98,2591.34,146.803,0,6.28295,5.9054,0,0,1,1,17164.9,17164.9,950,5.032
"Saithe",1982,4,21,10,0.05,0,0.05,0.0566515,0.106651,2320.08,2200.65,124.67,0,9.32077,8.8239,0,0,1,1,21625,21625,1036,7.745
"Saithe",1983,1,21,1,0.05,0,0.05,0,0.05,277677,270849,0,0,0.026,0.3516,0,0,1,0,7219.59,0,281,0
"Saithe",1983,1,21,2,0.05,0,0.05,0,0.05,181020,176569,0,0,0.2,0.4807,0,0,1,0,36204,0,333,0
"Saithe",1983,1,21,3,0.05,0,0.05,0.0672147,0.117215,139327,131472,8836.82,0,0.982,1.0276,0,0,1,0,136819,0,412,0.355
"Saithe",1983,1,21,4,0.05,0,0.05,0.178856,0.228856,82108.6,73390.6,13126.4,0,1.701,1.7178,0,0,1,0.15,139667,20950,441,0.534
"Saithe",1983,1,21,5,0.05,0,0.05,0.158505,0.208505,45103,40711.4,6452.97,0,2.118,2.1494,0,0,1,0.7,95528.2,66869.8,550,0.8
"Saithe",1983,1,21,6,0.05,0,0.05,0.142436,0.192436,9166.32,8338.31,1187.67,0,3.058,3.1378,0,0,1,0.9,28030.6,25227.6,646,1.133
"Saithe",1983,1,21,7,0.05,0,0.05,0.134381,0.184381,6791.2,6201.88,833.412,0,3.533,3.6906,0,0,1,1,23993.3,23993.3,742,1.552
"Saithe",1983,1,21,8,0.05,0,0.05,0.120315,0.170315,3200.14,2942.46,354.021,0,4.432,4.6318,0,0,1,1,14183,14183,809,1.997
"Saithe",1983,1,21,9,0.05,0,0.05,0.120315,0.170315,2584.49,2376.38,285.914,0,5.336,5.5054,0,0,1,1,13790.8,13790.8,878,2.496
"Saithe",1983,1,21,10,0.05,0,0.05,0.120315,0.170315,4540.99,4175.34,502.355,0,8.44849,8.453,0,0,1,1,38364.5,38364.5,1010,4.071
"Saithe",1983,2,21,1,0.05,0,0.05,0,0.05,264134,257640,0,0,0.036,0.3516,0,0,1,0,9508.83,0,283,0
"Saithe",1983,2,21,2,0.05,0,0.05,0,0.05,172191,167957,0,0,0.231,0.4807,0,0,1,0,39776.2,0,404,0
"Saithe",1983,2,21,3,0.05,0,0.05,0.128421,0.178421,123917,113491,14574.7,0,1.19499,1.0276,0,0,1,0,148080,0,424,1.26
"Saithe",1983,2,21,4,0.05,0,0.05,0.232093,0.282093,65312.7,56909,13208.2,0,1.9041,1.7178,0,0,1,0.15,124362,18654.3,483,1.733
"Saithe",1983,2,21,5,0.05,0,0.05,0.205684,0.255684,36614.5,32308.3,6645.32,0,2.33635,2.1494,0,0,1,0.7,85544.3,59881,561,2.558
"Saithe",1983,2,21,6,0.05,0,0.05,0.184832,0.234832,7561.74,6739.47,1245.67,0,3.29152,3.1378,0,0,1,0.9,24889.6,22400.6,647,3.526
"Saithe",1983,2,21,7,0.05,0,0.05,0.174379,0.224379,5647.69,5058.92,882.17,0,3.75685,3.6906,0,0,1,1,21217.5,21217.5,743,4.769
"Saithe",1983,2,21,8,0.05,0,0.05,0.156126,0.206126,2699,2439,380.792,0,4.62986,4.6318,0,0,1,1,12496,12496,789,6.024
"Saithe",1983,2,21,9,0.05,0,0.05,0.156126,0.206126,2179.76,1969.77,307.534,0,5.54743,5.5054,0,0,1,1,12092,12092,867,7.489
"Saithe",1983,2,21,10,0.05,0,0.05,0.156126,0.206126,3829.87,3460.93,540.342,0,8.22325,8.453,0,0,1,1,31494,31494,1017,11.457
"Saithe",1983,3,21,0,0.05,0,0.05,0,0.05,438784,427995,0,0,0.005,0,0,0,1,0,2193.92,0,129,0
"Saithe",1983,3,21,1,0.05,0,0.05,0,0.05,251252,245074,0,270.301,0.111,0.3516,95.0378,95.0378,1,0,27889,0,296,0
"Saithe",1983,3,21,2,0.05,0,0.05,0,0.05,163793,159766,0,32798.2,0.463,0.4807,15766.1,15766.1,1,0,75836.4,0,384,0
"Saithe",1983,3,21,3,0.05,0,0.05,0.203897,0.253897,103668,91553.7,18667.5,28242.4,1.34979,1.0276,29021.9,29021.9,1,0,139929,0,428,0.761
"Saithe",1983,3,21,4,0.05,0,0.05,0.236296,0.286296,49259,42835.1,10121.8,20603.5,2.05643,1.7178,35392.7,35392.7,1,0.15,101298,15194.7,504,0.997
"Saithe",1983,3,21,5,0.05,0,0.05,0.209409,0.259409,28353.8,24974.6,5229.9,26012.6,2.57654,2.1494,55911.5,55911.5,1,0.7,73054.5,51138.1,581,1.505
"Saithe",1983,3,21,6,0.05,0,0.05,0.188179,0.238179,5979.09,5320.37,1001.18,5677.73,3.52504,3.1378,17815.6,17815.6,1,0.9,21076.5,18968.9,689,2.011
"Saithe",1983,3,21,7,0.05,0,0.05,0.177537,0.227537,4512.57,4036.01,716.539,4893.36,3.97098,3.6906,18059.4,18059.4,1,1,17919.3,17919.3,744,2.682
"Saithe",1983,3,21,8,0.05,0,0.05,0.158954,0.208954,2196.25,1981.98,315.043,1493.97,4.83761,4.6318,6919.78,6919.78,1,1,10624.6,10624.6,813,3.346
"Saithe",1983,3,21,9,0.05,0,0.05,0.158954,0.208954,1773.73,1600.68,254.434,1035.92,5.75885,5.5054,5703.16,5703.16,1,1,10214.7,10214.7,898,4.131
"Saithe",1983,3,21,10,0.05,0,0.05,0.158954,0.208954,3116.48,2812.42,447.045,1327.33,8.13512,8.453,11219.9,11219.9,1,1,25352.9,25352.9,1019,6.373
"Saithe",1983,4,21,0,0.05,0,0.05,0,0.05,417384,407121,0,0,0.02,0,0,0,1,0,8347.68,0,173,0
"Saithe",1983,4,21,1,0.05,0,0.05,0,0.05,238999,233122,0,0,0.183,0.3516,0,0,1,0,43736.7,0,308,0
"Saithe",1983,4,21,2,0.05,0,0.05,0,0.05,155805,151974,0,0,0.667,0.4807,0,0,1,0,103922,0,401,0
"Saithe",1983,4,21,3,0.05,0,0.05,0.0938753,0.143875,80422.4,74904.8,7031.7,0,1.52315,1.0276,0,0,1,0,122496,0,435,1.012
"Saithe",1983,4,21,4,0.05,0,0.05,0.116747,0.166747,36995.5,34075.6,3978.23,0,2.28492,1.7178,0,0,1,0.15,84532,12679.8,516,1.306
"Saithe",1983,4,21,5,0.05,0,0.05,0.103463,0.153463,21875.1,20279.3,2098.16,0,2.76213,2.1494,0,0,1,0.7,60422.1,42295.4,654,1.897
"Saithe",1983,4,21,6,0.05,0,0.05,0.0929737,0.142974,4711.9,4390.55,408.206,0,3.7808,3.1378,0,0,1,0.9,17814.7,16033.3,756,2.535
"Saithe",1983,4,21,7,0.05,0,0.05,0.0877158,0.137716,3594.23,3357.72,294.525,0,4.16563,3.6906,0,0,1,1,14972.3,14972.3,811,3.302
"Saithe",1983,4,21,8,0.05,0,0.05,0.0785344,0.128534,1782.11,1672.33,131.336,0,5.03546,4.6318,0,0,1,1,8973.76,8973.76,847,4.085
"Saithe",1983,4,21,9,0.05,0,0.05,0.0785344,0.128534,1439.27,1350.61,106.069,0,5.98035,5.5054,0,0,1,1,8607.3,8607.3,950,5.032
"Saithe",1983,4,21,10,0.05,0,0.05,0.0785344,0.128534,2528.81,2373.04,186.365,0,8.19394,8.453,0,0,1,1,20720.9,20720.9,1036,7.745
"Saithe",1984,1,21,1,0.05,0,0.05,0,0.05,397028,387266,0,0,0.026,0.3084,0,0,1,0,10322.7,0,281,0
"Saithe",1984,1,21,2,0.05,0,0.05,0,0.05,227342,221752,0,0,0.2,0.5666,0,0,1,0,45468.5,0,333,0
"Saithe",1984,1,21,3,0.05,0,0.05,0.0595802,0.10958,148206,140375,8363.56,0,0.772,0.7948,0,0,1,0,114415,0,412,0.355
"Saithe",1984,1,21,4,0.05,0,0.05,0.158541,0.208541,69645.5,62863,9966.38,0,1.6,1.6138,0,0,1,0.15,111433,16714.9,441,0.534
"Saithe",1984,1,21,5,0.05,0,0.05,0.140502,0.190502,31313.5,28511.6,4005.93,0,2.27,2.2964,0,0,1,0.7,71081.7,49757.2,550,0.8
"Saithe",1984,1,21,6,0.05,0,0.05,0.126257,0.176257,18763,17202.5,2171.94,0,2.645,2.6898,0,0,1,0.9,49628.2,44665.4,646,1.133
"Saithe",1984,1,21,7,0.05,0,0.05,0.119117,0.169117,4084.16,3757.48,447.581,0,3.715,3.8957,0,0,1,1,15172.7,15172.7,742,1.552
"Saithe",1984,1,21,8,0.05,0,0.05,0.106649,0.156649,3131.82,2898.85,309.159,0,4.524,4.6644,0,0,1,1,14168.4,14168.4,809,1.997
"Saithe",1984,1,21,9,0.05,0,0.05,0.106649,0.156649,1567.16,1450.58,154.703,0,5.897,6.1827,0,0,1,1,9241.54,9241.54,878,2.496
"Saithe",1984,1,21,10,0.05,0,0.05,0.106649,0.156649,3489.46,3229.88,344.463,0,9.18491,8.4731,0,0,1,1,32050.4,32050.4,1010,4.071
"Saithe",1984,2,21,1,0.05,0,0.05,0,0.05,377665,368379,0,0,0.036,0.3084,0,0,1,0,13595.9,0,283,0
"Saithe",1984,2,21,2,0.05,0,0.05,0,0.05,216255,210937,0,0,0.231,0.5666,0,0,1,0,49954.9,0,404,0
"Saithe",1984,2,21,3,0.05,0,0.05,0.113835,0.163835,132824,122514,13946.4,0,0.939445,0.7948,0,0,1,0,124781,0,424,1.26
"Saithe",1984,2,21,4,0.05,0,0.05,0.205731,0.255731,56535.9,49885.7,10263,0,1.79105,1.6138,0,0,1,0.15,101258,15188.8,483,1.733
"Saithe",1984,2,21,5,0.05,0,0.05,0.182322,0.232322,25882,23095.4,4210.81,0,2.50402,2.2964,0,0,1,0.7,64809.1,45366.4,561,2.558
"Saithe",1984,2,21,6,0.05,0,0.05,0.163838,0.213838,15731,14162.8,2320.4,0,2.84698,2.6898,0,0,1,0.9,44785.7,40307.2,647,3.526
"Saithe",1984,2,21,7,0.05,0,0.05,0.154572,0.204572,3448.71,3118.83,482.084,0,3.95039,3.8957,0,0,1,1,13623.7,13623.7,743,4.769
"Saithe",1984,2,21,8,0.05,0,0.05,0.138393,0.188393,2677.72,2440.61,337.763,0,4.72596,4.6644,0,0,1,1,12654.8,12654.8,789,6.024
"Saithe",1984,2,21,9,0.05,0,0.05,0.138393,0.188393,1339.93,1221.28,169.016,0,6.13066,6.1827,0,0,1,1,8214.64,8214.64,867,7.489
"Saithe",1984,2,21,10,0.05,0,0.05,0.138393,0.188393,2983.5,2719.32,376.334,0,9.13348,8.4731,0,0,1,1,27249.8,27249.8,1017,11.457
"Saithe",1984,3,21,0,0.05,0,0.05,0,0.05,239277,233393,0,0,0.005,0,0,0,1,0,1196.38,0,129,0
"Saithe",1984,3,21,1,0.05,0,0.05,0,0.05,359246,350413,0,59.293,0.111,0.3084,18.286,18.286,1,0,39876.3,0,296,0
"Saithe",1984,3,21,2,0.05,0,0.05,0,0.05,205708,200650,0,34455.1,0.463,0.5666,19522.3,19522.3,1,0,95242.8,0,384,0
"Saithe",1984,3,21,3,0.05,0,0.05,0.180738,0.230738,112752,100689,18198.4,80933.5,1.06113,0.7948,64325.9,64325.9,1,0,119645,0,428,0.761
"Saithe",1984,3,21,4,0.05,0,0.05,0.209457,0.259457,43778.6,38560.2,8076.68,32171.9,1.93433,1.6138,51919.1,51919.1,1,0.15,84682.2,12702.3,504,0.997
"Saithe",1984,3,21,5,0.05,0,0.05,0.185624,0.235624,20516.4,18278.5,3392.93,12957.3,2.76144,2.2964,29755.1,29755.1,1,0.7,56655,39658.5,581,1.505
"Saithe",1984,3,21,6,0.05,0,0.05,0.166805,0.216805,12702.4,11419.8,1904.87,13010.9,3.04896,2.6898,34996.8,34996.8,1,0.9,38729.2,34856.3,689,2.011
"Saithe",1984,3,21,7,0.05,0,0.05,0.157371,0.207371,2810.68,2538.4,399.471,1656.76,4.17554,3.8957,6454.24,6454.24,1,1,11736.1,11736.1,744,2.682
