 par parNo species year quarter area age predator prey fleet
avg_sumF 304 1 2005 -1 -1 -1 -1 -1 -1
avg_sumF 305 1 2006 -1 -1 -1 -1 -1 -1
avg_sumF 306 1 2007 -1 -1 -1 -1 -1 -1
avg_sumF 307 1 2008 -1 -1 -1 -1 -1 -1
avg_sumF 308 1 2009 -1 -1 -1 -1 -1 -1
avg_sumF 309 1 2010 -1 -1 -1 -1 -1 -1
avg_sumF 310 1 2011 -1 -1 -1 -1 -1 -1
avg_sumF 311 1 2012 -1 -1 -1 -1 -1 -1
avg_sumF 312 1 2013 -1 -1 -1 -1 -1 -1
avg_sumF 313 1 2014 -1 -1 -1 -1 -1 -1
avg_sumF 314 1 2015 -1 -1 -1 -1 -1 -1
avg_sumF 315 1 2016 -1 -1 -1 -1 -1 -1
avg_sumF 316 1 2017 -1 -1 -1 -1 -1 -1
avg_sumF 317 1 2018 -1 -1 -1 -1 -1 -1
avg_log_sumF 318 1 1974 -1 -1 -1 -1 -1 -1
avg_log_sumF 319 1 1975 -1 -1 -1 -1 -1 -1
avg_log_sumF 320 1 1976 -1 -1 -1 -1 -1 -1
avg_log_sumF 321 1 1977 -1 -1 -1 -1 -1 -1
avg_log_sumF 322 1 1978 -1 -1 -1 -1 -1 -1
avg_log_sumF 323 1 1979 -1 -1 -1 -1 -1 -1
avg_log_sumF 324 1 1980 -1 -1 -1 -1 -1 -1
avg_log_sumF 325 1 1981 -1 -1 -1 -1 -1 -1
avg_log_sumF 326 1 1982 -1 -1 -1 -1 -1 -1
avg_log_sumF 327 1 1983 -1 -1 -1 -1 -1 -1
avg_log_sumF 328 1 1984 -1 -1 -1 -1 -1 -1
avg_log_sumF 329 1 1985 -1 -1 -1 -1 -1 -1
avg_log_sumF 330 1 1986 -1 -1 -1 -1 -1 -1
avg_log_sumF 331 1 1987 -1 -1 -1 -1 -1 -1
avg_log_sumF 332 1 1988 -1 -1 -1 -1 -1 -1
avg_log_sumF 333 1 1989 -1 -1 -1 -1 -1 -1
avg_log_sumF 334 1 1990 -1 -1 -1 -1 -1 -1
avg_log_sumF 335 1 1991 -1 -1 -1 -1 -1 -1
avg_log_sumF 336 1 1992 -1 -1 -1 -1 -1 -1
avg_log_sumF 337 1 1993 -1 -1 -1 -1 -1 -1
avg_log_sumF 338 1 1994 -1 -1 -1 -1 -1 -1
avg_log_sumF 339 1 1995 -1 -1 -1 -1 -1 -1
avg_log_sumF 340 1 1996 -1 -1 -1 -1 -1 -1
avg_log_sumF 341 1 1997 -1 -1 -1 -1 -1 -1
avg_log_sumF 342 1 1998 -1 -1 -1 -1 -1 -1
avg_log_sumF 343 1 1999 -1 -1 -1 -1 -1 -1
avg_log_sumF 344 1 2000 -1 -1 -1 -1 -1 -1
avg_log_sumF 345 1 2001 -1 -1 -1 -1 -1 -1
avg_log_sumF 346 1 2002 -1 -1 -1 -1 -1 -1
avg_log_sumF 347 1 2003 -1 -1 -1 -1 -1 -1
avg_log_sumF 348 1 2004 -1 -1 -1 -1 -1 -1
avg_log_sumF 349 1 2005 -1 -1 -1 -1 -1 -1
avg_log_sumF 350 1 2006 -1 -1 -1 -1 -1 -1
avg_log_sumF 351 1 2007 -1 -1 -1 -1 -1 -1
avg_log_sumF 352 1 2008 -1 -1 -1 -1 -1 -1
avg_log_sumF 353 1 2009 -1 -1 -1 -1 -1 -1
avg_log_sumF 354 1 2010 -1 -1 -1 -1 -1 -1
avg_log_sumF 355 1 2011 -1 -1 -1 -1 -1 -1
avg_log_sumF 356 1 2012 -1 -1 -1 -1 -1 -1
avg_log_sumF 357 1 2013 -1 -1 -1 -1 -1 -1
avg_log_sumF 358 1 2014 -1 -1 -1 -1 -1 -1
avg_log_sumF 359 1 2015 -1 -1 -1 -1 -1 -1
avg_log_sumF 360 1 2016 -1 -1 -1 -1 -1 -1
avg_log_sumF 361 1 2017 -1 -1 -1 -1 -1 -1
avg_log_sumF 362 1 2018 -1 -1 -1 -1 -1 -1
exploi_pattern 363 1 2018 1  -1 0  -1 -1 -1
exploi_pattern 364 1 2018 1  -1 1  -1 -1 -1
exploi_pattern 365 1 2018 1  -1 2  -1 -1 -1
exploi_pattern 366 1 2018 1  -1 3  -1 -1 -1
exploi_pattern 367 1 2018 2  -1 0  -1 -1 -1
exploi_pattern 368 1 2018 2  -1 1  -1 -1 -1
exploi_pattern 369 1 2018 2  -1 2  -1 -1 -1
exploi_pattern 370 1 2018 2  -1 3  -1 -1 -1
exploi_pattern 371 1 2018 3  -1 0  -1 -1 -1
exploi_pattern 372 1 2018 3  -1 1  -1 -1 -1
exploi_pattern 373 1 2018 3  -1 2  -1 -1 -1
exploi_pattern 374 1 2018 3  -1 3  -1 -1 -1
exploi_pattern 375 1 2018 4  -1 0  -1 -1 -1
exploi_pattern 376 1 2018 4  -1 1  -1 -1 -1
exploi_pattern 377 1 2018 4  -1 2  -1 -1 -1
exploi_pattern 378 1 2018 4  -1 3  -1 -1 -1
next_SSB 379 1 2019 1 -1 -1 -1 -1 -1
next_log_SSB 380 1 2019 1 -1 -1 -1 -1 -1
rec_sd 381 1 1974 1 -1 0 -1 -1 -1
rec_sd 382 1 1975 1 -1 0 -1 -1 -1
rec_sd 383 1 1976 1 -1 0 -1 -1 -1
rec_sd 384 1 1977 1 -1 0 -1 -1 -1
rec_sd 385 1 1978 1 -1 0 -1 -1 -1
rec_sd 386 1 1979 1 -1 0 -1 -1 -1
rec_sd 387 1 1980 1 -1 0 -1 -1 -1
rec_sd 388 1 1981 1 -1 0 -1 -1 -1
rec_sd 389 1 1982 1 -1 0 -1 -1 -1
rec_sd 390 1 1983 1 -1 0 -1 -1 -1
rec_sd 391 1 1984 1 -1 0 -1 -1 -1
rec_sd 392 1 1985 1 -1 0 -1 -1 -1
rec_sd 393 1 1986 1 -1 0 -1 -1 -1
rec_sd 394 1 1987 1 -1 0 -1 -1 -1
rec_sd 395 1 1988 1 -1 0 -1 -1 -1
rec_sd 396 1 1989 1 -1 0 -1 -1 -1
rec_sd 397 1 1990 1 -1 0 -1 -1 -1
rec_sd 398 1 1991 1 -1 0 -1 -1 -1
rec_sd 399 1 1992 1 -1 0 -1 -1 -1
rec_sd 400 1 1993 1 -1 0 -1 -1 -1
rec_sd 401 1 1994 1 -1 0 -1 -1 -1
rec_sd 402 1 1995 1 -1 0 -1 -1 -1
rec_sd 403 1 1996 1 -1 0 -1 -1 -1
rec_sd 404 1 1997 1 -1 0 -1 -1 -1
rec_sd 405 1 1998 1 -1 0 -1 -1 -1
rec_sd 406 1 1999 1 -1 0 -1 -1 -1
rec_sd 407 1 2000 1 -1 0 -1 -1 -1
rec_sd 408 1 2001 1 -1 0 -1 -1 -1
rec_sd 409 1 2002 1 -1 0 -1 -1 -1
rec_sd 410 1 2003 1 -1 0 -1 -1 -1
rec_sd 411 1 2004 1 -1 0 -1 -1 -1
rec_sd 412 1 2005 1 -1 0 -1 -1 -1
rec_sd 413 1 2006 1 -1 0 -1 -1 -1
rec_sd 414 1 2007 1 -1 0 -1 -1 -1
rec_sd 415 1 2008 1 -1 0 -1 -1 -1
rec_sd 416 1 2009 1 -1 0 -1 -1 -1
rec_sd 417 1 2010 1 -1 0 -1 -1 -1
rec_sd 418 1 2011 1 -1 0 -1 -1 -1
rec_sd 419 1 2012 1 -1 0 -1 -1 -1
rec_sd 420 1 2013 1 -1 0 -1 -1 -1
rec_sd 421 1 2014 1 -1 0 -1 -1 -1
rec_sd 422 1 2015 1 -1 0 -1 -1 -1
rec_sd 423 1 2016 1 -1 0 -1 -1 -1
rec_sd 424 1 2017 1 -1 0 -1 -1 -1
rec_sd 425 1 2018 1 -1 0 -1 -1 -1
log_recsd 426 1 1974 1 -1 0 -1 -1 -1
log_recsd 427 1 1975 1 -1 0 -1 -1 -1
log_recsd 428 1 1976 1 -1 0 -1 -1 -1
log_recsd 429 1 1977 1 -1 0 -1 -1 -1
log_recsd 430 1 1978 1 -1 0 -1 -1 -1
log_recsd 431 1 1979 1 -1 0 -1 -1 -1
log_recsd 432 1 1980 1 -1 0 -1 -1 -1
log_recsd 433 1 1981 1 -1 0 -1 -1 -1
log_recsd 434 1 1982 1 -1 0 -1 -1 -1
log_recsd 435 1 1983 1 -1 0 -1 -1 -1
log_recsd 436 1 1984 1 -1 0 -1 -1 -1
log_recsd 437 1 1985 1 -1 0 -1 -1 -1
log_recsd 438 1 1986 1 -1 0 -1 -1 -1
log_recsd 439 1 1987 1 -1 0 -1 -1 -1
log_recsd 440 1 1988 1 -1 0 -1 -1 -1
log_recsd 441 1 1989 1 -1 0 -1 -1 -1
log_recsd 442 1 1990 1 -1 0 -1 -1 -1
log_recsd 443 1 1991 1 -1 0 -1 -1 -1
