Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1980 3 1 1 0 0 0.355084 0.221987 0.577071 1.70826e+007 1.29794e+007 2.88126e+006 3.86661e+006 0.00857794 0.00857794 33167.6 33167.6 1 0.409297 146534 59975.8 0 0 
1980 3 1 2 0 0 0.232378 0.48965 0.722028 1.23197e+006 877419 429628 389674 0.0130762 0.0130762 5095.48 5095.48 1 0.87187 16109.5 14045.4 0 0 
1980 3 1 3 0 0 0.232378 1.1865 1.41888 85615.9 45739 54269.4 8724.47 0.0168243 0.0168243 146.783 146.783 1 0.94676 1440.43 1363.74 0 0 
1980 4 1 0 0 0 0.418981 0 0.418981 8.5648e+007 6.99695e+007 0 0 0.00457565 0.00457565 0 0 1 0 391896 0 0 0 
1980 4 1 1 0 0 0.372197 0 0.372197 9.59259e+006 8.00973e+006 0 0 0.00731047 0.00731047 0 0 1 0.409297 70126.3 28702.5 0 0 
1980 4 1 2 0 0 0.336392 0 0.336392 598449 508191 0 0 0.0105055 0.0105055 0 0 1 0.87187 6287.03 5481.47 0 0 
1980 4 1 3 0 0 0.336392 0 0.336392 20717.7 17593.1 0 0 0.0100528 0.0100528 0 0 1 0.94676 208.272 197.183 0 0 
1981 1 1 0 0 0 0.500673 0.000938253 0.501612 1.01644e+008 7.99289e+007 74993.6 428776 0.00375646 0.00375646 1610.68 1610.68 1 0 381824 0 0 0 
1981 1 1 1 0 0 0.485668 0.229829 0.715498 5.63321e+007 4.02358e+007 9.24735e+006 1.23224e+007 0.00985436 0.00985436 121430 121430 1 0.409297 555117 227208 0 0 
1981 1 1 2 0 0 0.447571 0.386311 0.833882 6.61139e+006 4.48465e+006 1.73247e+006 1.48324e+006 0.0128668 0.0128668 19084.5 19084.5 1 0.87187 85067.2 74167.5 0 0 
1981 1 1 3 0 0 0.360278 0.353438 0.713717 442298 316164 111744 130805 0.0156399 0.0156399 2045.78 2045.78 1 0.94676 6917.5 6549.22 0 0 
1981 2 1 0 0 0 0.409368 0.00837084 0.417739 6.15512e+007 5.03129e+007 421161 40632.1 0.00816463 0.00816463 331.746 331.746 1 0 502543 0 0 0 
1981 2 1 1 0 0 0.271108 0.258786 0.529895 2.75435e+007 2.13808e+007 5.53305e+006 3.54074e+006 0.0125949 0.0125949 44595.3 44595.3 1 0.409297 346908 141988 0 0 
1981 2 1 2 0 0 0.26707 0.879562 1.14663 2.87172e+006 1.7088e+006 1.50299e+006 3.02529e+006 0.0152894 0.0152894 46255 46255 1 0.87187 43907 38281.2 0 0 
1981 2 1 3 0 0 0.231668 0.821459 1.05313 216646 133954 110038 202048 0.0193529 0.0193529 3910.21 3910.21 1 0.94676 4192.74 3969.52 0 0 
1981 3 1 0 0 0 0.360579 0.0187451 0.379324 4.05336e+007 3.37323e+007 632317 374254 0.00488917 0.00488917 1829.79 1829.79 1 0 198176 0 0 0 
1981 3 1 1 0 0 0.313672 0.108701 0.422373 1.6214e+007 1.3225e+007 1.43758e+006 3.85406e+006 0.00889068 0.00889068 34265.2 34265.2 1 0.409297 144153 59001.4 0 0 
1981 3 1 2 0 0 0.222216 0.239769 0.461986 912360 730639 175185 319763 0.0157395 0.0157395 5032.91 5032.91 1 0.87187 14360.1 12520.1 0 0 
1981 3 1 3 0 0 0.222216 0.581001 0.803217 75576.1 51949.4 30182.6 9835.42 0.0193956 0.0193956 190.763 190.763 1 0.94676 1465.84 1387.8 0 0 
1981 4 1 0 0 0 0.376388 0 0.376388 2.77381e+007 2.31156e+007 0 0 0.00601838 0.00601838 0 0 1 0 166938 0 0 0 
1981 4 1 1 0 0 0.330268 0 0.330268 1.06281e+007 9.05128e+006 0 0 0.013925 0.013925 0 0 1 0.409297 147996 60574.5 0 0 
1981 4 1 2 0 0 0.266924 0 0.266924 574815 504493 0 0 0.0190605 0.0190605 0 0 1 0.87187 10956.3 9552.45 0 0 
