Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15
NS-IBTS,1996,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.017,77.517,275.897,346.050,61.003,0.000,0.000,,,,,,,,,
NS-IBTS,1996,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,130.748,1582.102,271.894,62.761,47.286,8.932,,,,,,,,,
NS-IBTS,1996,3,161789,Sprattus,sprattus,NS_SpratIV,,6,1.513,310.544,734.580,315.552,41.645,2.392,0.000,,,,,,,,,
NS-IBTS,1996,4,161789,Sprattus,sprattus,NS_SpratIV,,6,18.945,206.647,197.237,43.225,2.088,0.000,0.000,,,,,,,,,
NS-IBTS,1997,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,591.862,411.953,179.551,15.522,2.239,0.000,,,,,,,,,
NS-IBTS,1997,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,232.654,391.234,1239.126,139.144,58.672,75.836,,,,,,,,,
NS-IBTS,1997,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,332.831,815.443,666.726,69.820,0.254,0.320,,,,,,,,,
NS-IBTS,1997,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,534.193,437.176,31.673,63.332,6.643,3.332,1.438,,,,,,,,,
NS-IBTS,1997,3,161789,Sprattus,sprattus,NS_SpratIV,,6,15.697,4527.789,1278.583,237.418,28.233,0.000,0.004,,,,,,,,,
NS-IBTS,1998,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1171.050,1456.508,305.908,15.753,2.244,1.137,,,,,,,,,
NS-IBTS,1998,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,72.245,1585.222,619.761,1617.712,317.588,203.929,,,,,,,,,
NS-IBTS,1998,3,161789,Sprattus,sprattus,NS_SpratIV,,6,193.625,2020.651,1122.150,146.215,4.596,0.223,0.000,,,,,,,,,
NS-IBTS,1998,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,39.711,62.820,90.152,30.149,53.016,0.707,4.070,,,,,,,,,
NS-IBTS,1999,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,2534.528,562.098,80.347,4.828,0.264,0.181,,,,,,,,,
NS-IBTS,1999,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,4534.960,355.242,249.858,44.246,246.851,66.671,,,,,,,,,
NS-IBTS,1999,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,2.606,8082.645,282.946,85.837,66.948,37.789,18.339,,,,,,,,,
NS-IBTS,1999,3,161789,Sprattus,sprattus,NS_SpratIV,,6,1754.755,7982.207,918.376,61.657,0.120,0.000,0.000,,,,,,,,,
NS-IBTS,2000,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,292.316,737.798,59.688,51.792,3.407,19.799,,,,,,,,,
NS-IBTS,2000,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1058.204,851.581,274.711,43.887,0.412,0.470,,,,,,,,,
NS-IBTS,2000,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,
NS-IBTS,2000,3,161789,Sprattus,sprattus,NS_SpratIV,,6,27.961,2535.898,1561.271,42.312,3.292,0.000,0.000,,,,,,,,,
NS-IBTS,2001,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,6539.478,1144.344,676.709,92.368,33.501,12.373,,,,,,,,,
NS-IBTS,2001,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,883.058,1057.001,185.466,17.548,0.043,0.302,,,,,,,,,
NS-IBTS,2001,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.267,8501.662,657.701,434.566,19.853,3.508,0.990,,,,,,,,,
NS-IBTS,2001,3,161789,Sprattus,sprattus,NS_SpratIV,,6,51.827,2310.042,1495.481,116.367,0.732,0.000,0.018,,,,,,,,,
NS-IBTS,2002,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1180.520,1035.707,89.959,58.847,7.730,5.196,,,,,,,,,
NS-IBTS,2002,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1152.328,812.450,91.631,11.931,0.375,0.000,,,,,,,,,
NS-IBTS,2002,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,3568.480,763.633,135.466,71.972,4.109,2.854,,,,,,,,,
NS-IBTS,2002,3,161789,Sprattus,sprattus,NS_SpratIV,,6,103.683,4248.445,1153.745,112.068,11.599,0.000,0.000,,,,,,,,,
NS-IBTS,2003,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1842.261,309.918,44.491,2.210,0.031,0.009,,,,,,,,,
NS-IBTS,2003,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,462.638,1247.490,1172.134,382.291,109.317,13.848,,,,,,,,,
NS-IBTS,2003,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,1133.295,444.802,1200.600,495.569,98.297,23.081,10.279,,,,,,,,,
